in_reply_to_user_id,id,text,author_id,created_at,public_metrics/retweet_count,public_metrics/reply_count,public_metrics/like_count,public_metrics/quote_count,conversation_id
158710580,1.07953E+18,@sidneycleto @minamoraess @UFPR @SchirleyVinci Sou astronauta e fui pra marte 3 vezes em missões secretas no último ano,1917725930,2018-12-31T00:17:18.000Z,0,0,1,0,1.0729E+18
,1.07952E+18,que 2019 me traga um mestrado no litoral alô @UFPR,286387714,2018-12-30T23:39:21.000Z,0,0,0,0,1.07952E+18
158710580,1.0795E+18,@sidneycleto @IDIOSSlNCRASIA @UFPR @SchirleyVinci KKKKKKKKKKKKKK selo “aconteceu pra caralho” de qualidade,2540582655,2018-12-30T21:52:17.000Z,0,0,1,0,1.0729E+18
,1.07931E+18,"Proteção animal atendeu 16,7 mil cães e gatos em Curitiba
 https://t.co/E7Hwa8ByE9 #curitiba #jornale #noticiascuritiba #ufpr #curitibando #petscuritiba #veterinario #curitibasualinda #curitibalinda #mulhercuritibana #saudecuritiba #inovacuritiba #novacuritiba #cwb #paranaenses",58538112,2018-12-30T09:44:31.000Z,0,0,0,0,1.07931E+18
8.02628E+17,1.0792E+18,"@Menino_Cesar @UFPR mas toxico n é pro meu ano, dai n tenho preferencia",8.02628E+17,2018-12-30T02:21:26.000Z,0,0,0,0,1.07881E+18
7.74211E+17,1.0792E+18,"@Menino_Cesar @UFPR não é, eu queria pegar toxicologica pq esse semestre ainda é com o rilton, dps ele vai fazer cirurgia e ai não vai dar em 2019/2",8.02628E+17,2018-12-30T02:21:02.000Z,0,1,0,0,1.07881E+18
23978439,1.07899E+18,"@UFPR te amo.
ali passei os melhores dias ali aprendi para sempre.",1.00017E+18,2018-12-29T12:04:07.000Z,0,0,0,0,1.07542E+18
,1.07897E+18,"Noite da virada, ganho na mega pelo bolão que fiz com meus amigos,  a @UFPR  decidi de surpresa e solta a nota na virada... procuro meu nome aprovado....continua",7.50055E+17,2018-12-29T11:01:18.000Z,0,0,1,0,1.07897E+18
23978439,1.07886E+18,@UFPR não sei se é verdade hoje em dia,276617136,2018-12-29T03:31:56.000Z,0,0,0,0,6.58743E+17
7.70042E+17,1.07885E+18,@Edu_Paim @UFPR uhauahduadhuadhu,8.02628E+17,2018-12-29T03:03:18.000Z,0,0,0,0,1.07881E+18
8.02628E+17,1.07885E+18,"@BerMauad @UFPR Melhor é o meu curso que mudou de grade, mas no portal só tem as matérias antigas",7.70042E+17,2018-12-29T03:01:46.000Z,0,1,1,0,1.07881E+18
2407563662,1.07882E+18,"@CamilaBianco2 @UFPR Nem isso eu consigo pq o portal simplesmente não abre pra mim, e BB, tenho que falar um negócio contigo, me lembra isso dps",8.02628E+17,2018-12-29T00:56:22.000Z,0,0,0,0,1.07881E+18
8.02628E+17,1.07882E+18,"@BerMauad @UFPR Eu ainda não escolhi minha optativa porque só tem optativa ruim no noturno 
História e política que seria 10/10 de fazer, só à tarde",2407563662,2018-12-29T00:52:19.000Z,0,1,1,0,1.07881E+18
,1.07881E+18,"Quero fazer as minhas matriculas mas o portal do aluno não colabora, @UFPR poxa crush, ajuda a gente a conseguir as matérias nos horarios bons",8.02628E+17,2018-12-29T00:47:10.000Z,0,3,3,0,1.07881E+18
,1.0788E+18,#ufpr (Universidade Federal do Paraná) #curitiba #pr #brasil 🇧🇷 — em UFPR (Universidade Federal do Paraná) https://t.co/ycutwnIn8d,127240672,2018-12-28T23:43:06.000Z,0,0,0,0,1.0788E+18
,1.07879E+18,#ufpr #curitiba #pr #cidademodelo #brasil #turismo #turismobrasil 🇧🇷 com @djornalista @djornalista em UFPR (Universidade Federal do Paraná) https://t.co/3C9GBjwjga,127240672,2018-12-28T23:18:52.000Z,0,0,0,0,1.07879E+18
23978439,1.07876E+18,@UFPR @brunaberbeki Vai fazer a alegria da galera https://t.co/IxRu1C40Q7,357113334,2018-12-28T21:28:07.000Z,0,0,1,0,1.07834E+18
2169875728,1.07867E+18,@analidiazp @yvgukk @UFPR VC VAI E VAI SER RICA pra me sustentar,2426010959,2018-12-28T15:19:15.000Z,0,0,0,0,1.07865E+18
,1.07862E+18,"Mostra atravessa fronteiras ao unir artistas no Museu de Arte da UFPR
 https://t.co/5bFGIxSEcs #curitiba #jornale #noticiascuritiba #eventoscuritiba #artecuritiba #ufpr #musacuritiba #museudeartedaufpr #paranaenses #curitibando #cwb #curitibapr #curitibalinda #curitibasualinda",58538112,2018-12-28T12:10:48.000Z,0,0,0,0,1.07862E+18
23978439,1.0786E+18,@UFPR @brunaberbeki Tá foda esperar dia 10,7.50055E+17,2018-12-28T10:22:27.000Z,0,0,0,0,1.07834E+18
,1.07845E+18,ô @UFPR nunca te pedi nada 😭 https://t.co/OCbEDzxRDU,9.46922E+17,2018-12-28T00:20:57.000Z,0,0,2,0,1.07845E+18
7.02192E+17,1.07844E+18,"@littlegloomgirl @UFPR @PUCPR_oficial me dá um descontinho tbm, eu sou s a d girl",1599848545,2018-12-28T00:16:39.000Z,0,0,1,0,1.07839E+18
